t,y
2.037173,-0.606914
2.049445,-0.616193
2.061717,-0.625301
2.073989,-0.634288
2.086261,-0.643167
2.098533,-0.651918
2.110805,-0.660518
2.123077,-0.668934
2.135350,-0.677213
2.147622,-0.685384
2.159894,-0.693339
2.172166,-0.701188
2.184438,-0.708972
2.196710,-0.716536
2.208982,-0.723994
2.221254,-0.731348
2.233527,-0.738524
2.245799,-0.745636
2.258071,-0.752574
2.270343,-0.759393
2.282615,-0.766109
2.294887,-0.772658
2.307159,-0.779083
2.319431,-0.785354
2.331704,-0.791499
2.343976,-0.797548
2.356248,-0.803397
2.368520,-0.809124
2.380792,-0.814732
2.393064,-0.820198
2.405336,-0.825558
2.417608,-0.830777
2.429881,-0.835886
2.442153,-0.840856
2.454425,-0.845716
2.466697,-0.850446
2.478969,-0.855059
2.491241,-0.859548
2.503513,-0.863913
2.515785,-0.868178
2.528058,-0.872296
2.540330,-0.876314
2.552602,-0.880224
2.564874,-0.884009
2.577146,-0.887686
2.589418,-0.891254
2.601690,-0.894708
2.613962,-0.898057
2.626235,-0.901286
2.638507,-0.904386
2.650779,-0.907382
2.663051,-0.910263
2.675323,-0.913033
2.687595,-0.915693
2.699867,-0.918241
2.712139,-0.920686
2.724412,-0.923011
2.736684,-0.925232
2.748956,-0.927353
2.761228,-0.929361
2.773500,-0.931268
2.785772,-0.933074
2.798044,-0.934776
2.810316,-0.936375
2.822589,-0.937877
2.834861,-0.939272
2.847133,-0.940566
2.859405,-0.941762
2.871677,-0.942862
2.883949,-0.943858
2.896221,-0.944757
2.908493,-0.945561
2.920766,-0.946268
2.933038,-0.946882
2.945310,-0.947402
2.957582,-0.947829
2.969854,-0.948163
2.982126,-0.948406
2.994398,-0.948561
3.006670,-0.948625
3.018943,-0.948601
3.031215,-0.948490
3.043487,-0.948293
3.055759,-0.948011
3.068031,-0.947645
3.080303,-0.947196
3.092575,-0.946665
3.104847,-0.946053
3.117120,-0.945360
3.129392,-0.944589
3.141664,-0.943739
3.153936,-0.942812
3.166208,-0.941808
3.178480,-0.940728
3.190752,-0.939575
3.203024,-0.938348
3.215297,-0.937049
3.227569,-0.935679
3.239841,-0.934239
3.252113,-0.932730
3.264385,-0.931153
3.276657,-0.929509
3.288929,-0.927799
3.301201,-0.926024
3.313474,-0.924186
3.325746,-0.922284
3.338018,-0.920322
3.350290,-0.918299
3.362562,-0.916216
3.374834,-0.914076
3.387106,-0.911879
3.399378,-0.909626
3.411651,-0.907319
3.423923,-0.904959
3.436195,-0.902547
3.448467,-0.900084
3.460739,-0.897571
3.473011,-0.895010
3.485283,-0.892401
3.497555,-0.889746
3.509828,-0.887046
3.522100,-0.884301
3.534372,-0.881514
3.546644,-0.878685
3.558916,-0.875816
3.571188,-0.872907
3.583460,-0.869959
3.595732,-0.866974
3.608005,-0.863952
3.620277,-0.860895
3.632549,-0.857803
3.644821,-0.854678
3.657093,-0.851520
3.669365,-0.848330
3.681637,-0.845109
3.693909,-0.841858
3.706182,-0.838578
3.718454,-0.835269
3.730726,-0.831932
3.742998,-0.828568
3.755270,-0.825178
3.767542,-0.821762
3.779814,-0.818321
3.792086,-0.814856
3.804359,-0.811368
3.816631,-0.807857
3.828903,-0.804324
3.841175,-0.800770
3.853447,-0.797195
3.865719,-0.793600
3.877991,-0.789986
3.890263,-0.786353
3.902536,-0.782702
3.914808,-0.779033
3.927080,-0.775347
3.939352,-0.771645
3.951624,-0.767928
3.963896,-0.764196
3.976168,-0.760449
3.988440,-0.756689
4.000713,-0.752915
4.012985,-0.749128
4.025257,-0.745329
4.037529,-0.741519
4.049801,-0.737697
4.062073,-0.733865
4.074345,-0.730023
4.086617,-0.726171
4.098890,-0.722310
4.111162,-0.718440
4.123434,-0.714562
4.135706,-0.710677
4.147978,-0.706784
4.160250,-0.702885
4.172522,-0.698979
4.184794,-0.695067
4.197067,-0.691149
4.209339,-0.687226
4.221611,-0.683298
4.233883,-0.679366
4.246155,-0.675430
4.258427,-0.671490
4.270699,-0.667547
4.282971,-0.663601
4.295244,-0.659652
4.307516,-0.655701
4.319788,-0.651748
4.332060,-0.647794
4.344332,-0.643838
4.356604,-0.639882
4.368876,-0.635924
4.381148,-0.631967
4.393421,-0.628009
4.405693,-0.624052
4.417965,-0.620094
4.430237,-0.616138
4.442509,-0.612183
4.454781,-0.608229
4.467053,-0.604276
4.479325,-0.600325
4.491598,-0.596376
4.503870,-0.592429
4.516142,-0.588485
4.528414,-0.584543
4.540686,-0.580604
4.552958,-0.576668
4.565230,-0.572736
4.577502,-0.568808
4.589775,-0.564884
4.602047,-0.560964
4.614319,-0.557049
4.626591,-0.553139
4.638863,-0.549234
4.651135,-0.545335
4.663407,-0.541441
4.675679,-0.537554
4.687952,-0.533673
4.700224,-0.529799
4.712496,-0.525932
4.724768,-0.522072
4.737040,-0.518220
4.749312,-0.514376
4.761584,-0.510540
4.773856,-0.506713
4.786129,-0.502895
4.798401,-0.499086
4.810673,-0.495287
4.822945,-0.491498
4.835217,-0.487719
4.847489,-0.483950
4.859761,-0.480192
4.872033,-0.476445
4.884306,-0.472709
4.896578,-0.468985
4.908850,-0.465272
4.921122,-0.461571
4.933394,-0.457882
4.945666,-0.454206
4.957938,-0.450542
4.970210,-0.446891
4.982483,-0.443253
4.994755,-0.439628
5.007027,-0.436017
5.019299,-0.432420
5.031571,-0.428837
5.043843,-0.425268
5.056115,-0.421714
5.068387,-0.418175
5.080660,-0.414650
5.092932,-0.411141
5.105204,-0.407647
5.117476,-0.404169
5.129748,-0.400707
5.142020,-0.397261
5.154292,-0.393831
5.166564,-0.390418
5.178837,-0.387021
5.191109,-0.383641
5.203381,-0.380278
5.215653,-0.376932
5.227925,-0.373604
5.240197,-0.370293
5.252469,-0.367000
5.264741,-0.363724
5.277014,-0.360467
5.289286,-0.357228
5.301558,-0.354007
5.313830,-0.350805
5.326102,-0.347621
5.338374,-0.344456
5.350646,-0.341310
5.362918,-0.338183
5.375191,-0.335075
5.387463,-0.331986
5.399735,-0.328917
5.412007,-0.325867
5.424279,-0.322837
5.436551,-0.319827
5.448823,-0.316837
5.461095,-0.313867
5.473368,-0.310917
5.485640,-0.307988
5.497912,-0.305079
5.510184,-0.302191
5.522456,-0.299324
5.534728,-0.296477
5.547000,-0.293652
5.559272,-0.290848
5.571545,-0.288064
5.583817,-0.285303
5.596089,-0.282562
5.608361,-0.279843
5.620633,-0.277146
5.632905,-0.274470
5.645177,-0.271816
5.657449,-0.269184
5.669722,-0.266574
5.681994,-0.263986
5.694266,-0.261420
5.706538,-0.258876
5.718810,-0.256355
5.731082,-0.253856
5.743354,-0.251379
5.755626,-0.248924
5.767899,-0.246493
5.780171,-0.244083
5.792443,-0.241697
5.804715,-0.239333
5.816987,-0.236992
5.829259,-0.234673
5.841531,-0.232378
5.853803,-0.230105
5.866076,-0.227855
5.878348,-0.225628
5.890620,-0.223424
5.902892,-0.221243
5.915164,-0.219085
5.927436,-0.216950
5.939708,-0.214838
5.951980,-0.212750
5.964253,-0.210684
5.976525,-0.208641
5.988797,-0.206622
6.001069,-0.204626
6.013341,-0.202653
6.025613,-0.200704
6.037885,-0.198778
6.050157,-0.196875
6.062430,-0.194995
6.074702,-0.193139
6.086974,-0.191307
6.099246,-0.189498
6.111518,-0.187712
6.123790,-0.185950
6.136062,-0.184211
6.148334,-0.182496
6.160607,-0.180803
6.172879,-0.179135
6.185151,-0.177490
6.197423,-0.175868
6.209695,-0.174270
6.221967,-0.172695
6.234239,-0.171143
6.246511,-0.169615
6.258784,-0.168110
6.271056,-0.166629
6.283185,-0.165170
